id,max_river_distance_km,crossed_dam,species,id_species
102,249.7070608,Yes,Taimen,102- Taimen
104,232.8505307,No,Taimen,104- Taimen
105,161.7325602,No,Taimen,105- Taimen
118,8.06989246,No,Pike,118- Pike
120,39.68431722,No,Taimen,120- Taimen
122,8.394067263,No,Perch,122- Perch
123,201.6144499,No,Taimen,123- Taimen
124,0.145065729,No,Pike,124- Pike
126,0.061757835,No,Pike,126- Pike
130,9.766064739,No,Taimen,130- Taimen
131,8.439134508,No,Taimen,131- Taimen
133,171.2857131,No,Taimen,133- Taimen
134,197.2599201,No,Taimen,134- Taimen
137,0.023388881,No,Taimen,137- Taimen
150,0.031034206,No,Lenok,150- Lenok
151,158.183189,No,Taimen,151- Taimen
152,90.49587013,Yes,Taimen,152- Taimen
153,25.22228971,Yes,White Fish,153- White Fish
154,243.4622829,Yes,Taimen,154- Taimen
155,3.462130889,No,Taimen,155- Taimen
156,230.0909781,No,Taimen,156- Taimen
157,20.70176434,No,Taimen,157- Taimen
158,1.118156984,No,Taimen,158- Taimen
159,238.1984616,Yes,Taimen,159- Taimen
181,20.0079223,No,Pike,181- Pike
204,3.162557244,No,Lenok,204- Lenok
206,0,No,Lenok,206- Lenok
207,20.46005471,No,Lenok,207- Lenok
